;;;;;;;;;;;;;;
MarkaKodu;TipKodu;MarkaAdı;TipAdı;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013
3;1001;ALFA ROMEO;GIULIETTA 1.4 TB M.AIR 170 TCT PROG.PLU;0;0;0;0;0;0;0;0;0;0;393371
3;1002;ALFA ROMEO;GIULIETTA 1.4 TB M.AIR 170 TCT DISTINCTIVE;0;0;0;0;0;0;0;0;531381;442412;440847
3;1003;ALFA ROMEO;GIULIETTA 1.4 TB MULTIAIR (170);0;0;0;0;0;0;0;0;0;0;0
3;1004;ALFA ROMEO;MITO 1.3 JTD (95) CITY;0;0;0;0;0;0;0;0;0;294658;265833
3;1005;ALFA ROMEO;4C LAUNCH EDITION 1.750 TB 240 TCT;0;0;0;0;0;0;0;0;1674448;1335633;0
3;1006;ALFA ROMEO;159 2.4 DIZEL SPORTSWAGON;0;0;0;0;0;0;0;0;0;0;0
3;1007;ALFA ROMEO;GIULIETTA 1.8 TBI 240 TCT QV;0;0;0;0;0;0;0;0;770083;700518;0
3;1008;ALFA ROMEO;MITO 1.3 JTD (85) CITY;0;0;0;0;0;0;0;0;336081;294658;0
3;1012;ALFA ROMEO;MITO 1.4 170 3 KAPI QV TCT S2;0;0;0;0;0;0;0;0;518505;0;0
3;1013;ALFA ROMEO;GIULIETTA  1.6 JTD 120 PROGRESSION;0;0;0;0;0;508037;464061;446727;410985;0;0
3;1014;ALFA ROMEO;GIULIETTA 1.6 JTDM 120 PROGRESSION TCT;0;0;0;0;0;594017;542573;522314;0;0;0
3;1015;ALFA ROMEO;GIULIETTA 1.6 JTDM 120 SUPER TCT;0;0;0;0;730997;675668;617164;544537;0;0;0
3;1016;ALFA ROMEO;GIULIETTA 1.4 TB MULTIAIR  170 SUPER TCT;0;0;0;0;0;641661;580905;558365;0;0;0
3;1017;ALFA ROMEO;GIULIETTA 1.8 TBI 240 VELOCE TCT;0;0;0;0;0;0;0;841303;0;0;0
3;1018;ALFA ROMEO;4C 1.8 240 TCT;0;0;0;0;0;0;2484306;2077855;0;0;0
3;1019;ALFA ROMEO;4C SPIDER 1.8 240 TCT;0;0;0;0;0;0;2592444;2243787;0;0;0
3;1020;ALFA ROMEO;GIULIETTA 1.6 JTD 120 SUPER;0;0;0;0;0;0;538640;518527;0;0;0
3;1021;ALFA ROMEO;GIULIA 2.0 200 SUPER RWD AT;0;0;0;0;0;1541196;1437189;0;0;0;0
3;1022;ALFA ROMEO;GIULIA 2.0 280 VELOCE AWD AT;0;3027440;2753100;2477791;2230012;2007010;1806310;1625679;0;0;0
